example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""years, I"">For <marker>years I</marker> have been travelling.</example>",For years I have been travelling.,group,0,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,Missing comma after introductory phrase,
"<example correction=""October 1958"">The store closed its doors for good in <marker>October, 1958</marker>.</example>","The store closed its doors for good in October, 1958.",single,,PUNCTUATION,Punctuation Errors,typographical,COMMA_AFTER_A_MONTH,Comma after a month,
"<example correction=""October 18,"">My birthday is <marker>October 18</marker> 1983.</example>",My birthday is October 18 1983.,single,,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_BETWEEN_DAY_AND_YEAR,Missing comma between day of month and year,
"<example correction=""aunt"">My <marker>aunt,</marker> and I like skiing.</example>","My aunt, and I like skiing.",group,0,PUNCTUATION,Punctuation Errors,typographical,UNNECESSARY_COMMA,"Unnecessary comma: 'Bob(,) and I'",
"<example correction=""Friday,"">We will meet <marker>Friday</marker> July 15.</example>",We will meet Friday July 15.,single,,PUNCTUATION,Punctuation Errors,typographical,MISSING_COMMA_AFTER_WEEKDAY,Missing comma after weekday,
"<example correction=""For heaven’s sake|For heavens’ sake""><marker>For heavens sake</marker>!</example>",For heavens sake!,single,,PUNCTUATION,Punctuation Errors,typographical,FOR_NOUN_SAKE,for heaven's sake,
"<example correction=""coming,"">She isn't <marker>coming</marker> is she?</example>",She isn't coming is she?,group,0,PUNCTUATION,Punctuation Errors,typographical,COMMA_TAG_QUESTION,comma before tag question,
"<example correction=""car, but"">She really purchased the <marker>car but</marker> she declined the extended warranty.</example>",She really purchased the car but she declined the extended warranty.,group,0,PUNCTUATION,Punctuation Errors,typographical,COMMA_COMPOUND_SENTENCE,comma between independent clauses,
"<example correction=""enough, and"">Bill didn't work hard <marker>enough and</marker> so he failed.</example>",Bill didn't work hard enough and so he failed.,group,1,PUNCTUATION,Punctuation Errors,typographical,COMMA_COMPOUND_SENTENCE,comma between independent clauses,
"<example correction=""money, so"">I need to borrow some <marker>money so</marker> I can buy some medicine for Tom.</example>",I need to borrow some money so I can buy some medicine for Tom.,group,2,PUNCTUATION,Punctuation Errors,typographical,COMMA_COMPOUND_SENTENCE,comma between independent clauses,
"<example correction=""Washington, but"">My friends are in <marker>Washington but</marker> I am in Seattle.</example>",My friends are in Washington but I am in Seattle.,group,3,PUNCTUATION,Punctuation Errors,typographical,COMMA_COMPOUND_SENTENCE,comma between independent clauses,
"<example correction=""cars"">The <marker>car's</marker> are cheap.</example>",The car's are cheap.,single,,PUNCTUATION,Punctuation Errors,typographical,APOS_ARE,extraneous apostrophes before 'are',
"<example correction=""state-of-the-art"">We present our <marker>state of the art</marker> solution.</example>",We present our state of the art solution.,single,,PUNCTUATION,Punctuation Errors,typographical,STATE_OF_THE_ART,state of the art (state-of-the-art),
<example>This word is <marker>out of place</marker>.</example>,This word is out of place.,single,,PUNCTUATION,Punctuation Errors,typographical,OUT_OF_PLACE,out of place (out-of-place) etc.,
<example>They seem to be having five hindrances <marker>out of the way</marker>.</example>,They seem to be having five hindrances out of the way.,single,,PUNCTUATION,Punctuation Errors,typographical,OUT_OF_THE_WAY,out of the way (out-of-the-way) etc.,
"<example>There are several grammar checkers for English, e.g., LanguageTool.</example>","There are several grammar checkers for English, e.g., LanguageTool.",group,0,PUNCTUATION,Punctuation Errors,typographical,EG_NO_COMMA,'e.g.' without a comma,
"<example>There are several grammar checkers for English, e.g., LanguageTool.</example>","There are several grammar checkers for English, e.g., LanguageTool.",group,1,PUNCTUATION,Punctuation Errors,typographical,EG_NO_COMMA,'e.g.' without a comma,
"<example>There are several grammar checkers for English, e.g., LanguageTool.</example>","There are several grammar checkers for English, e.g., LanguageTool.",group,2,PUNCTUATION,Punctuation Errors,typographical,EG_NO_COMMA,'e.g.' without a comma,
"<example>Who's responsible for providing public facilities, <marker>i.e.,</marker> a post office, library, etc. for the Northwest?</example>","Who's responsible for providing public facilities, i.e., a post office, library, etc. for the Northwest?",group,0,PUNCTUATION,Punctuation Errors,typographical,IE_NO_COMMA,'i.e.' without a comma,
"<example>Who's responsible for providing public facilities, <marker>i.e.,</marker> a post office, library, etc. for the Northwest?</example>","Who's responsible for providing public facilities, i.e., a post office, library, etc. for the Northwest?",group,1,PUNCTUATION,Punctuation Errors,typographical,IE_NO_COMMA,'i.e.' without a comma,
"<example>Who's responsible for providing public facilities, <marker>i.e.,</marker> a post office, library, etc. for the Northwest?</example>","Who's responsible for providing public facilities, i.e., a post office, library, etc. for the Northwest?",group,2,PUNCTUATION,Punctuation Errors,typographical,IE_NO_COMMA,'i.e.' without a comma,
"<example correction=""” said"">“Good morning, Frank,<marker>”said</marker> Hal.</example>","“Good morning, Frank,”said Hal.",single,,PUNCTUATION,Punctuation Errors,typographical,NO_SPACE_CLOSING_QUOTE,Missing space after closing quote,
"<example>There are several grammar checkers for English, e.g., LanguageTool.</example>","There are several grammar checkers for English, e.g., LanguageTool.",group,0,PUNCTUATION,Punctuation Errors,typographical,EG_SPACE,abbreviations with spaces in between (e. g.),
"<example>Who's responsible for providing public facilities, <marker>i.e.,</marker> a post office, library, etc. for the Northwest?</example>","Who's responsible for providing public facilities, i.e., a post office, library, etc. for the Northwest?",group,1,PUNCTUATION,Punctuation Errors,typographical,EG_SPACE,abbreviations with spaces in between (e. g.),
"<example correction=""o'clock"">They meet at 2 <marker>o' clock</marker>.</example>",They meet at 2 o' clock.,group,0,PUNCTUATION,Punctuation Errors,typographical,O_CLOCK,space in 'o´clock',
"<example correction=""piano, and"">She loves playing the <marker>piano and</marker> I hate it.</example>",She loves playing the piano and I hate it.,group,0,PUNCTUATION,Punctuation Errors,typographical,COMMA_BEFORE_AND,"Missing comma before 'and, or, nor, yet, so, but' (inclompete)",
"<example correction=""German, and"">She speaks Spanish, <marker>German and</marker> French.</example>","She speaks Spanish, German and French.",group,0,PUNCTUATION,Punctuation Errors,typographical,SERIAL_COMMA_ON,Warn when the serial comma is not used (incomplete),
"<example correction=""water, and"">While air, <marker>water and</marker> food are necessary for life, we cannot so easily categorize the prerequisites of happiness.</example>","While air, water and food are necessary for life, we cannot so easily categorize the prerequisites of happiness.",group,1,PUNCTUATION,Punctuation Errors,typographical,SERIAL_COMMA_ON,Warn when the serial comma is not used (incomplete),
"<example correction=""Culture, and"">Stocking, George, Jr. (Race, <marker>Culture and</marker> Evolution).</example>","Stocking, George, Jr. (Race, Culture and Evolution).",group,2,PUNCTUATION,Punctuation Errors,typographical,SERIAL_COMMA_ON,Warn when the serial comma is not used (incomplete),
"<example correction=""trams, and"">In addition to buses, <marker>trams and</marker> taxis, popular modes of transport are ...</example>","In addition to buses, trams and taxis, popular modes of transport are ...",group,3,PUNCTUATION,Punctuation Errors,typographical,SERIAL_COMMA_ON,Warn when the serial comma is not used (incomplete),
"<example>The pen, <marker>pencil and</marker> book are on the desk.</example>","The pen, pencil and book are on the desk.",group,0,PUNCTUATION,Punctuation Errors,typographical,SERIAL_COMMA_OFF,Warn when the serial comma is used (incomplete),
"<example correction=""house, which|house that"">I am going to the <marker>house which</marker> burned down.</example>",I am going to the house which burned down.,single,,PUNCTUATION,Punctuation Errors,typographical,COMMA_WHICH,No comma before 'which',
"<example correction=""By default,""><marker>By default</marker> this setting is enabled.</example>",By default this setting is enabled.,single,,PUNCTUATION,Punctuation Errors,typographical,BY_DEFAULT_COMMA,Comma after by default at the beginning of a sentence.,
,,group,0,PUNCTUATION,Punctuation Errors,typographical,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,Commas after conjunctive/linking adverbs in front of a new sentence.,
"<example correction=""Nonetheless,""><marker>Nonetheless</marker> you should set commas to enhance readability.</example>",Nonetheless you should set commas to enhance readability.,group,1,PUNCTUATION,Punctuation Errors,typographical,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,Commas after conjunctive/linking adverbs in front of a new sentence.,
"<example correction=""addition,"">In <marker>addition</marker> he created a great rule for LanguageTool.</example>",In addition he created a great rule for LanguageTool.,group,2,PUNCTUATION,Punctuation Errors,typographical,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,Commas after conjunctive/linking adverbs in front of a new sentence.,
"<example correction=""two-year-old"">Rudolph is a <marker>two year old</marker> reindeer.</example>",Rudolph is a two year old reindeer.,group,0,PUNCTUATION,Punctuation Errors,typographical,MISSING_HYPHEN,Missing hyphens in compounds,
"<example correction=""two-year-old"">Rudolph is a <marker>two-year old</marker> reindeer.</example>",Rudolph is a two-year old reindeer.,group,1,PUNCTUATION,Punctuation Errors,typographical,MISSING_HYPHEN,Missing hyphens in compounds,
"<example correction=""35-hour"">France has a <marker>35 hour</marker> working week.</example>",France has a 35 hour working week.,group,2,PUNCTUATION,Punctuation Errors,typographical,MISSING_HYPHEN,Missing hyphens in compounds,
"<example correction=""right-hand"">He is her <marker>right hand</marker> man.</example>",He is her right hand man.,group,3,PUNCTUATION,Punctuation Errors,typographical,MISSING_HYPHEN,Missing hyphens in compounds,
"<example correction=""English-speaking"">This is all about <marker>English speaking</marker> people.</example>",This is all about English speaking people.,group,4,PUNCTUATION,Punctuation Errors,typographical,MISSING_HYPHEN,Missing hyphens in compounds,
"<example correction=""face-first"">I crashed <marker>face first</marker> into the snow.</example>",I crashed face first into the snow.,single,,PUNCTUATION,Punctuation Errors,typographical,FACE_FIRST,Missing hyphen: face first (face-first),
,,group,0,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
,,group,1,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
"<example correction=""—""><marker>-</marker> What is that, mother?</example>","- What is that, mother?",group,2,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
"<example correction=""—"">In these educational establishments there were enrollments <marker>-</marker> mostly from elementary school — and a total of teachers.</example>",In these educational establishments there were enrollments - mostly from elementary school — and a total of teachers.,group,3,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
"<example correction=""1901 – 1978|1901–1978"">Vitorino Nemésio (<marker>1901 - 1978</marker>) — writer and university teacher.</example>",Vitorino Nemésio (1901 - 1978) — writer and university teacher.,group,4,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
"<example correction=""—"">…— as aforementioned <marker>-</marker>,…</example>","…— as aforementioned -,…",group,5,PUNCTUATION,Punctuation Errors,typographical,DASH_RULE,"Hyphen, n-dash and m-dash",
"<example correction=""1.""><marker>1.-</marker> Introduction</example>",1.- Introduction,single,,PUNCTUATION,Punctuation Errors,typographical,ENUMERATION_AND_DASHES,Enumerations with dashes: 1.2.-,
